jugador,frecuencia
buhlbo01,1
burdele01,2
conlege01,1
johnser02,1
mcmahdo02,4
pizarju01,3
trowbbo01,1
ditmaar01,3
shantbo01,2
rushbo01,1
willeca01,1
durenry01,2
maasdu01,2
monroza01,1
donovdi01,1
lowntu01,1
moorera02,1
piercbi02,2
shawbo01,1
stalege01,1
churnch01,1
klippjo01,2
koufasa01,4
sherrla01,1
willist02,3
arroylu01,2
coateji01,3
staffbi01,3
terryra01,5
cheneto01,1
facero01,1
frienbo01,1
gibbojo01,2
greenfr01,1
haddiha01,1
lawve01,1
mizelvi01,1
wittge01,1
brosnji01,1
henrybi01,1
huntke02,1
jayjo01,1
johnske02,1
jonessh02,1
malonji01,1
otoolji01,1
purkebo01,1
daleybu01,2
bridgma01,1
bolinbo01,1
maricju01,2
millest01,1
odellbi01,1
sanfoja02,1
perraro01,5
boutoji01,2
downial01,4
hamilst01,3
renifha01,2
mikkepe01,1
sheldro01,1
stottme01,1
gibsobo01,3
humphbo01,1
richago01,1
sadecra01,2
schulba01,1
simmocu01,1
tayloro01,3
breweji01,3
millebo04,6
osteecl01,2
reedho01,1
bosweda01,2
grantmu01,2
kaatji01,4
merriji01,3
pascuca02,1
perryji01,3
pleisbi01,1
worthal01,2
bunkewa01,1
drabomo01,2
mcnalda01,9
palmeji01,12
moelljo01,1
reganph01,1
bellga01,1
brettke01,3
lonboji01,3
morehda01,1
osinsda01,1
santijo02,1
stangle01,1
stephje01,1
waslega01,1
wyattjo02,1
brilene01,4
carltst01,10
hoernjo01,2
hughedi01,2
jastela01,2
lamabja01,1
washbra01,3
williro01,2
woodeha01,1
dobsopa01,2
hillejo01,2
lashefr01,1
lolicmi01,2
mclaide01,1
patteda02,1
sparmjo01,1
wilsoea01,1
grangwa01,3
nelsome01,1
cuellmi01,8
halldi01,5
lopezma01,2
richepe01,4
watted01,6
chancde01,1
grzenjo01,1
hallto01,6
woodsdi01,2
brittji02,1
doylepa01,1
jarvipa01,1
neibaga01,1
niekrph01,2
pappami01,1
reedro01,9
stonege02,3
upshace01,1
gentrga01,2
koosmje01,5
mcgratu01,9
ryanno01,6
seaveto01,5
leonhda01,2
cardwdo01,1
blylebe01,5
tiantlu01,3
zeppbi01,1
carrocl02,7
clonito01,2
gulledo01,11
nolanga01,8
wilcomi01,4
ellisdo01,7
giustda01,6
moosebo01,4
walkelu01,3
phoebto01,1
mcgloji01,3
bluevi01,8
fingero01,9
hunteca01,12
knowlda01,2
lockebo02,3
seguidi01,2
blassst01,3
johnsbo03,3
kisonbr01,7
barrji01,1
bryanro01,1
carrido01,1
cumbejo01,1
johnsje01,1
perryga01,1
dukesto01,1
jacksgr01,7
vealebo01,1
colemjo05,1
frymawo01,3
lagrole01,1
scherfr01,1
seelbch01,1
zachach02,1
hamilda01,2
holtzke01,7
horlejo01,2
odombl01,6
billija01,5
borbope01,7
grimsro02,4
hernara01,3
alexado01,4
reynobo01,2
pinaho01,2
nelsoro02,1
normafr01,5
tomlida01,2
matlajo01,2
parkeha01,2
lindbpa01,3
garlawa01,1
houghch01,6
marshmi01,2
messean01,2
raudo01,5
solomed01,1
suttodo01,9
demerla01,2
reussje01,7
rookeji01,3
clevere01,2
dragodi01,2
moretro01,2
wiseri01,2
abbotgl01,1
bosmadi01,1
toddji01,1
eastwra01,4
mcenawi01,3
candejo01,4
tekulke01,3
burtoji01,1
leebi03,3
poledi01,1
willoji01,1
darcypa01,1
birddo01,3
gurala01,6
hasslan01,3
leonade01,6
littema01,2
mingost01,3
pattima01,4
splitpa01,5
figueed01,5
lylesp01,6
tidrodi01,7
sarmima01,1
zachrpa01,3
garbege01,3
underto01,4
guidrro01,7
torremi01,2
garmami01,2
hootobu01,7
johnto01,9
rautzla01,4
rhoderi01,3
sosael01,4
brusswa01,6
chrisla01,5
clayke01,3
hraboal01,1
beattji01,2
gossari01,8
forstte01,5
welchbo01,13
lerchra01,2
ruthvdi01,4
flanami01,5
martide01,6
mcgresc01,4
stanhdo01,2
aasedo01,1
barlomi01,1
clearma01,1
frostda01,1
knappch01,1
larocda01,2
montajo01,1
tananfr01,2
bairdo01,4
humeto01,1
lacosmi01,4
leibrch01,8
pastofr01,1
sotoma01,1
bibbyji01,2
roberda05,1
robindo01,5
romoen01,2
martiti01,3
stewasa01,3
stoddti01,2
stonest01,1
quiseda01,6
davisro02,4
mayru01,4
andujjo01,5
forscke01,1
lacorfr01,2
niekrjo01,3
ruhleve01,3
sambijo01,4
smithda02,3
bystrma01,3
nolesdi01,3
saucike01,2
galeri01,1
martire01,2
walkbo01,5
bernadw01,3
caldwmi01,3
easteja01,1
haasmo01,3
mcclubo01,3
slatoji01,3
vuckope01,3
reuscri01,5
righeda01,3
frazige01,4
beardda01,2
jonesje01,1
keougma02,1
kingmbr01,1
mccatst01,2
norrimi01,2
owchibo01,1
jonesmi02,2
langfri01,1
bahnsst01,1
burrira01,2
gullibi01,2
reardje01,7
rogerst01,2
sandesc01,4
castibo01,3
howest01,4
niedeto01,5
penaal01,9
valenfe01,6
kneppbo01,2
smithbi06,1
stewada01,11
goltzda01,2
sanchlu01,1
wittmi01,2
zahnge01,1
laddpe01,2
bedrost01,5
campri01,1
mahleri01,2
mooredo01,2
perezpa01,1
forscbo01,6
stupejo01,2
suttebr01,2
medicdo01,1
lahtije01,3
lapoida01,1
boddimi01,4
davisst02,5
agostju01,1
bannifl01,1
barojsa01,1
burnsbr01,1
dotsori01,1
hoytla01,1
lampde01,3
beckwjo01,2
honeyri01,11
dennyjo01,2
hollaal01,2
hudsoch02,2
anderla02,5
hernawi01,4
lopezau01,3
morrija02,7
petryda01,3
blackbu02,3
huismma01,1
saberbr01,7
eckerde01,11
smithle02,2
sutclri01,2
troutst01,1
bookegr01,2
draveda01,3
harrigr01,3
hawkian01,2
leffecr01,5
lollati01,2
shower01,2
thurmma01,3
whitsed01,2
scherbi01,1
farrst01,1
gubicma01,1
jacksda02,8
ackerji01,3
clancji01,3
henketo01,5
keyji01,10
lavelga01,1
stiebda01,2
diazca01,1
hershor01,12
howelke01,1
campbbi02,2
coxda01,7
dayleke01,4
hortori01,5
tudorjo01,6
worreto01,5
boydoi01,2
clemero02,24
crawfst01,2
hurstbr01,3
schirca01,2
stanlbo01,3
corbedo01,1
finlech01,4
lucasga01,1
mccaski01,2
calhoje01,1
kerfech01,1
scottmi03,1
aguilri01,6
darliro01,4
fernasi01,3
goodedw01,8
mcdowro01,3
ojedabo01,2
oroscje01,7
siskdo01,2
nippeal01,1
hennemi01,2
kinger01,1
robinje02,1
terrewa01,1
atherke01,2
berenju01,2
schatda01,2
strakle01,2
violafr01,2
downske01,4
garresc01,3
hammaat01,3
krukomi01,1
pricejo02,1
magrajo01,2
mathegr01,2
tunnele01,1
gardnwe01,1
smithmi03,1
cadargr01,2
nelsoge01,6
plunker01,8
youngcu01,3
belchti01,5
holtobr01,2
howelja01,2
learyti01,2
coneda01,15
leachte01,2
myersra01,9
burnsto02,3
mooremi01,5
youngma01,1
cerutjo01,1
stottto01,10
warddu01,6
wellsda01,17
assenpa01,11
bielemi01,4
kilgupa01,1
lancale01,1
maddugr01,23
willimi02,3
wilsost01,1
brantje01,4
boltoto01,1
grayje01,1
kieckda01,1
murphro01,1
brownto05,2
charlno01,7
dibblro01,2
rijojo01,2
scuddsc01,2
belinst01,4
drabedo01,3
landrbi01,2
pattebo01,3
powerte01,1
smilejo01,4
smithza01,3
armstja01,1
klinkjo01,1
ericksc01,6
guthrma01,7
tapanke01,4
westda01,4
willica01,2
candito01,2
guzmaju01,5
macdobo01,1
timlimi01,18
averyst01,10
glavito02,24
merckke01,9
smoltjo01,25
stantmi02,18
wohlema01,14
kippebo01,1
masonro01,4
rodriro02,1
tomlira01,2
stclara01,1
corsiji01,2
parreje01,1
russeje01,2
wittbo01,4
eichhma01,4
freemma02,1
smithpe02,2
neaglde01,7
wakefti01,11
alvarwi01,3
bereja01,1
deleojo01,1
fernaal01,3
hernaro01,4
mcdowja01,3
radinsc01,2
castito02,2
hentgpa01,3
leiteal01,11
mcmicgr01,7
greento01,2
mulhote01,8
riverbe01,2
schilcu01,12
thigpbo01,2
embreal01,11
hillke01,4
mesajo01,10
nagych01,10
ogeach01,6
pooleji02,5
tavarju01,10
ayalabo01,3
benesan01,7
bosioch01,2
johnsra05,11
nelsoje01,20
rislebi01,2
wellsbo01,4
wolcobo01,1
cormirh01,3
hansoer01,1
hudsojo02,1
maddumi01,1
hitchst01,6
kamiesc01,2
pettian01,32
riverma01,32
wettejo01,6
wickmbo01,2
clontbr01,5
burbada01,6
carrahe01,1
hernaxa01,1
jacksmi02,11
portuma01,1
schoupe01,3
borbope02,2
holmeda01,3
leskacu01,2
munozmi01,1
paintla01,1
reedst01,6
reynoar02,1
ritzke01,1
ruffibr01,1
swiftbi02,1
thompma01,1
astacpe01,3
cummijo01,1
martira02,4
nomohi01,2
osunaan01,2
valdeis01,2
benitar01,9
coppiro01,1
mathete01,3
millsal01,3
mussimi01,16
rhodear01,12
lloydgr01,7
rogerke01,9
weathda01,3
shueypa01,5
boehrbr01,5
burkejo03,6
cookde01,9
oliveda02,13
patteda04,2
pavliro01,1
vosbeed01,3
